fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,id
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,120
6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,121
7.4,0.24,0.26,1.6,0.058,53,150,0.9936,3.18,0.5,9.9,122
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,123
6.4,0.62,0.12,4.7,0.06,33,196,0.99556,3.22,0.48,8.9,124
7.4,0.23,0.38,8.6,0.052,41,150,0.99534,3.06,0.46,10.3,125
7.9,0.2,0.34,1.2,0.04,29,118,0.9932,3.14,0.41,10.6,126
7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,127
6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,128
5.2,0.34,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5,129
6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,130
6.3,0.28,0.22,9.5,0.04,30,111,0.99338,3.05,0.31,10.8,131
6.3,0.26,0.42,7.1,0.045,62,209,0.99544,3.2,0.53,9.5,132
6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,11,133
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,134
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,135
6.8,0.25,0.24,4.55,0.053,41,211,0.9955,3.37,0.67,9.5,136
8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,137
6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,138
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,139
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,140
6.8,0.23,0.32,1.6,0.026,43,147,0.9904,3.29,0.54,12.5,141
7.1,0.25,0.28,1.2,0.04,31,111,0.99174,3.18,0.53,11.1,142
7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,143
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,144
5.7,0.28,0.35,1.2,0.052,39,141,0.99108,3.44,0.69,11.3,145
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,146
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,147
6.6,0.25,0.31,12.4,0.059,52,181,0.9984,3.51,0.47,9.8,148
6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,149
6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,150
6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,151
8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2,152
5.9,0.2,0.4,1.3,0.047,23,92,0.99232,3.2,0.45,10,153
10,0.2,0.39,1.4,0.05,19,152,0.994,3,0.42,10.4,154
6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,155
7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,156
7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,157
6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,158
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,159
8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,160
6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,161
6.2,0.36,0.27,3.2,0.032,13,73,0.98942,2.9,0.69,12.6,162
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,163
6.9,0.22,0.32,5.8,0.041,20,119,0.99296,3.17,0.55,11.2,164
7.4,0.25,0.29,6.8,0.02,31,113,0.99338,3.13,0.29,10.8,165
7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,166
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,167
6.5,0.19,0.26,5.2,0.04,31,140,0.995,3.26,0.68,9.5,168
6.5,0.21,0.51,17.6,0.045,34,125,0.99966,3.2,0.47,8.8,169
6.9,0.22,0.32,9.3,0.04,22,110,0.9958,3.34,0.54,10.7,170
7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,171
5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,172
8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,173
5.7,0.33,0.32,1.4,0.043,28,93,0.9897,3.31,0.5,12.3,174
6.4,0.3,0.27,5,0.058,27,151,0.99198,3.22,0.49,12.2,175
6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,176
7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,177
7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,178
7.2,0.22,0.24,1.4,0.041,17,159,0.99196,3.25,0.53,11.2,179
7.7,0.24,0.31,1.3,0.047,33,106,0.993,3.22,0.55,10.8,180
5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,181
7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,182
6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3,183
6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,184
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,185
6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,186
6.6,0.18,0.28,1.7,0.041,53,161,0.99207,3.13,0.45,10.2,187
5.9,0.44,0.33,1.2,0.049,12,117,0.99134,3.46,0.44,11.5,188
6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,189
5.8,0.29,0.15,1.1,0.029,12,83,0.9898,3.3,0.4,11.4,190
7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,191
7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,192
5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,193
5.9,0.28,0.39,1.4,0.031,47,147,0.98836,3.08,0.64,12.9,194
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,195
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,196
7.4,0.22,0.26,8.8,0.027,23,112,0.9931,2.98,0.41,11.4,197
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,198
6.9,0.2,0.37,6.2,0.027,24,97,0.992,3.38,0.49,12.2,199
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,200
6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4,201
6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1,202
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,203
7.2,0.33,0.28,1.4,0.034,26,109,0.99246,3.28,0.57,10.6,204
6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,205
7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,206
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,207
5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11,208
7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,209
6.5,0.33,0.28,6.1,0.018,41,103,0.99122,3.24,0.32,12.2,210
7.3,0.17,0.36,8.2,0.028,44,111,0.99272,3.14,0.41,12.4,211
9,0.29,0.34,12.1,0.03,34,177,0.99706,3.13,0.47,10.6,212
7.7,0.26,0.51,2.6,0.045,26,159,0.99126,3,0.5,11.2,213
8.4,0.16,0.33,1.5,0.033,16,98,0.994,3.14,0.42,9.7,214
6.7,0.19,0.39,1,0.032,14,71,0.98912,3.31,0.38,13,215
8,0.22,0.32,10.4,0.043,63,201,0.997,3.11,0.53,9.5,216
6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,217
6.3,0.28,0.3,3.1,0.039,24,115,0.9942,3.05,0.43,8.6,218
6.8,0.32,0.18,7.5,0.041,71,223,0.9959,3.14,0.41,8.9,219
6.4,0.28,0.22,12.8,0.039,51,150,0.99535,3.23,0.43,10.7,220
7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,0.5,10.8,221
6.6,0.39,0.28,9.2,0.036,10,92,0.99206,3.07,0.35,12.1,222
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,223
7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,224
7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,225
7.5,0.32,0.49,1.7,0.031,44,109,0.9906,3.07,0.46,12.5,226
6.4,0.28,0.56,1.7,0.156,49,106,0.99354,3.1,0.37,9.2,227
6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,228
8.5,0.17,0.74,3.6,0.05,29,128,0.9928,3.28,0.4,12.4,229
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,230
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,231
7.4,0.18,0.36,13.1,0.056,72,163,1,3.42,0.35,9.1,232
7.8,0.26,0.49,3.2,0.027,28,87,0.9919,3.03,0.32,11.3,233
8.5,0.15,0.49,1.5,0.031,17,122,0.9932,3.03,0.4,10.3,234
4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,235
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,236
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,237
6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,238
7.3,0.3,0.22,6.4,0.056,44,168,0.9947,3.13,0.35,10.1,239
4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,240
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,241
7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,242
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,243
7.2,0.23,0.46,6.4,0.036,17,85,0.99279,3.1,0.78,11.7,244
6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,245
7,0.2,0.3,6.1,0.037,31,120,0.9939,3.24,0.51,10.8,246
5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,247
7.6,0.47,0.49,13,0.239,42,220,0.9988,2.96,0.51,9.2,248
5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,249
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,250
6.6,0.16,0.25,9.8,0.049,59.5,137,0.995,3.16,0.38,10,251
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,252
6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,253
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,254
6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4,255
7.2,0.34,0.44,4.2,0.047,51,144,0.991,3.01,0.76,12.3,256
6.1,0.28,0.22,1.8,0.034,32,116,0.9898,3.36,0.44,12.6,257
6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,258
5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,259
6.3,0.19,0.33,10.1,0.063,63,133,0.99561,2.86,0.41,9.1,260
7.8,0.24,0.18,6.7,0.046,33,160,0.9963,3.2,0.56,9.8,261
7.1,0.3,0.36,6.8,0.055,44.5,234,0.9972,3.49,0.64,10.2,262
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,263
6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,264
6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,265
7.4,0.38,0.34,8.3,0.052,44,168,0.99627,3.11,0.52,9.2,266
6.6,0.35,0.29,14.4,0.044,54,177,0.9991,3.17,0.58,8.9,267
9.3,0.34,0.49,7.3,0.052,30,146,0.998,3.17,0.61,10.2,268
7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,269
6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,270
7.3,0.25,0.41,1.8,0.037,52,165,0.9911,3.29,0.39,12.2,271
6.8,0.18,0.32,7.2,0.047,17,109,0.99498,3.42,0.44,10.4,272
7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,273
7.2,0.24,0.4,17.85,0.049,50,185,1,3.34,0.42,9.6,274
7.6,0.36,0.44,8.3,0.255,28,142,0.9958,3.12,0.43,10.2,275
6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,276
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,277
7.4,0.26,0.31,2.4,0.043,58,178,0.9941,3.42,0.68,10.6,278
9.2,0.35,0.39,0.9,0.042,15,61,0.9924,2.96,0.28,10.4,279
6.8,0.31,0.09,1.4,0.04,56,145,0.9922,3.19,0.46,10,280
7,0.36,0.32,10.5,0.045,35,135,0.9935,3.09,0.33,11.6,281
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,282
7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,283
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,284
7.2,0.28,0.38,2,0.052,23,156,0.9912,3.13,0.52,11.1,285
6,0.16,0.36,1.6,0.042,13,61,0.99143,3.22,0.54,10.8,286
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,287
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,288
7.1,0.37,0.3,6.2,0.04,49,139,0.99021,3.17,0.27,13.6,289
6.2,0.3,0.33,3.5,0.037,37,155,0.98987,3.18,0.37,12.4,290
6.3,0.34,0.28,14.7,0.047,49,198,0.9977,3.23,0.46,9.5,291
6.1,0.34,0.29,2.2,0.036,25,100,0.98938,3.06,0.44,11.8,292
6.6,0.21,0.38,2.2,0.026,40,104,0.9914,3.25,0.4,11.1,293
5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,294
8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,295
6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,296
7,0.22,0.32,1.6,0.045,40,120,0.9914,2.98,0.44,10.5,297
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,298
6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,299
10.3,0.25,0.48,2.2,0.042,28,164,0.998,3.19,0.59,9.7,300
6.5,0.19,0.28,1.4,0.046,22,90,0.99038,3.18,0.51,11.7,301
6.6,0.13,0.29,13.9,0.056,33,95,0.99702,3.17,0.39,9.4,302
6.9,0.23,0.24,14.2,0.053,19,94,0.9982,3.17,0.5,9.6,303
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,304
6.3,0.32,0.26,12.3,0.044,24,205,0.99611,3.11,0.58,9.9,305
8.6,0.26,0.41,2.2,0.049,29,111,0.9941,2.96,0.44,10,306
6,0.32,0.32,4.8,0.041,40,186,0.99235,3.22,0.54,11,307
6.8,0.22,0.37,15.2,0.051,68,178,0.99935,3.4,0.85,9.3,308
5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,309
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,310
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,311
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,312
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,313
6.8,0.24,0.37,7.45,0.043,59,188,0.99579,3.2,0.5,9.4,314
7.2,0.18,0.45,4.4,0.046,57,166,0.9943,3.13,0.62,11.2,315
6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,316
6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,317
5.7,0.21,0.32,0.9,0.038,38,121,0.99074,3.24,0.46,10.6,318
6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,319
5.5,0.29,0.3,1.1,0.022,20,110,0.98869,3.34,0.38,12.8,320
6.1,0.32,0.25,1.7,0.034,37,136,0.992,3.47,0.5,10.8,321
6.6,0.34,0.25,4.8,0.038,16,121,0.99198,3.36,0.71,12.6,322
9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2,323
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,324
5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3,325
7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,326
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,327
